gene	group_number	group_description
FGFR3	1	FGFR3 chondrodysplasias
COL2A1	2	Type 2 collagen disorders
COL11A1	3	Type 11 collagen disorders
COL11A2	3	Type 11 collagen disorders
SLC26A2	4	Sulfation disorders
PAPSS2	4	Sulfation disorders
IMPAD1	4	Sulfation disorders
CHST3	4	Sulfation disorders
SLC35B2	4	Sulfation disorders
CHST14	4	Sulfation disorders
DSE	4	Sulfation disorders
CHST11	4	Sulfation disorders
HS2ST1	4	Sulfation disorders
XYLT1	5	Dysplasias with multiple joint dislocations
CANT1	5	Dysplasias with multiple joint dislocations
KIF22	5	Dysplasias with multiple joint dislocations
EXOC6B	5	Dysplasias with multiple joint dislocations
B3GALT6	5	Dysplasias with multiple joint dislocations
B4GALT7	5	Dysplasias with multiple joint dislocations
B3GAT3	5	Dysplasias with multiple joint dislocations
CSGALNACT1	5	Dysplasias with multiple joint dislocations
SLC10A7	5	Dysplasias with multiple joint dislocations
FLNA	6	Filamins and related disorders
MAP3K7	6	Filamins and related disorders
TAB2	6	Filamins and related disorders
FLNB	6	Filamins and related disorders
RFLNA	6	Filamins and related disorders
MYH3	6	Filamins and related disorders
SH3PXD2B	6	Filamins and related disorders
HSPG2	7	Proteoglycan core proteins disorders
ACAN	7	Proteoglycan core proteins disorders
BGN	7	Proteoglycan core proteins disorders
TRPV4	8	TRPV4 disorders
AD	9	Pseudoachondroplasia and the multiple epiphyseal dysplasias
AR	9	Pseudoachondroplasia and the multiple epiphyseal dysplasias
DYNC2H1	10	Skeletal disorders caused by abnormalities of cilia or ciliary signaling
IFT80	10	Skeletal disorders caused by abnormalities of cilia or ciliary signaling
IFT81	10	Skeletal disorders caused by abnormalities of cilia or ciliary signaling
WDR34	10	Skeletal disorders caused by abnormalities of cilia or ciliary signaling
WDR60	10	Skeletal disorders caused by abnormalities of cilia or ciliary signaling
DYNC2LI1	10	Skeletal disorders caused by abnormalities of cilia or ciliary signaling
NEK1	10	Skeletal disorders caused by abnormalities of cilia or ciliary signaling
IFT122	10	Skeletal disorders caused by abnormalities of cilia or ciliary signaling
WDR19	10	Skeletal disorders caused by abnormalities of cilia or ciliary signaling
INTU	10	Skeletal disorders caused by abnormalities of cilia or ciliary signaling
TRAF3IP1	10	Skeletal disorders caused by abnormalities of cilia or ciliary signaling
CILK1	10	Skeletal disorders caused by abnormalities of cilia or ciliary signaling
TCTEX1D2	10	Skeletal disorders caused by abnormalities of cilia or ciliary signaling
IFT140	10	Skeletal disorders caused by abnormalities of cilia or ciliary signaling
TTC21B	10	Skeletal disorders caused by abnormalities of cilia or ciliary signaling
WDR35	10	Skeletal disorders caused by abnormalities of cilia or ciliary signaling
IFT43	10	Skeletal disorders caused by abnormalities of cilia or ciliary signaling
IFT172	10	Skeletal disorders caused by abnormalities of cilia or ciliary signaling
IFT52	10	Skeletal disorders caused by abnormalities of cilia or ciliary signaling
CFAP410	10	Skeletal disorders caused by abnormalities of cilia or ciliary signaling
CEP120	10	Skeletal disorders caused by abnormalities of cilia or ciliary signaling
KIAA0586	10	Skeletal disorders caused by abnormalities of cilia or ciliary signaling
GRK2	10	Skeletal disorders caused by abnormalities of cilia or ciliary signaling
KIAA0753	10	Skeletal disorders caused by abnormalities of cilia or ciliary signaling
EVC1	10	Skeletal disorders caused by abnormalities of cilia or ciliary signaling
EVC2	10	Skeletal disorders caused by abnormalities of cilia or ciliary signaling
GLI1	10	Skeletal disorders caused by abnormalities of cilia or ciliary signaling
SMO	10	Skeletal disorders caused by abnormalities of cilia or ciliary signaling
TCTN3	10	Skeletal disorders caused by abnormalities of cilia or ciliary signaling
IFT40	10	Skeletal disorders caused by abnormalities of cilia or ciliary signaling
CSPP1	10	Skeletal disorders caused by abnormalities of cilia or ciliary signaling
PRKACA	10	Skeletal disorders caused by abnormalities of cilia or ciliary signaling
PRKACB	10	Skeletal disorders caused by abnormalities of cilia or ciliary signaling
MKS1	10	Skeletal disorders caused by abnormalities of cilia or ciliary signaling
TMEM216	10	Skeletal disorders caused by abnormalities of cilia or ciliary signaling
TMEM67	10	Skeletal disorders caused by abnormalities of cilia or ciliary signaling
CEP290	10	Skeletal disorders caused by abnormalities of cilia or ciliary signaling
RPGRIP1L	10	Skeletal disorders caused by abnormalities of cilia or ciliary signaling
CC2D2A	10	Skeletal disorders caused by abnormalities of cilia or ciliary signaling
COL10A1	11	Metaphyseal dysplasias
RMRP	11	Metaphyseal dysplasias
POP1	11	Metaphyseal dysplasias
NEPRO	11	Metaphyseal dysplasias
SBDS	11	Metaphyseal dysplasias
EFL1	11	Metaphyseal dysplasias
DNAJC21	11	Metaphyseal dysplasias
SRP54	11	Metaphyseal dysplasias
MMP13	11	Metaphyseal dysplasias
MMP9	11	Metaphyseal dysplasias
RUNX2	11	Metaphyseal dysplasias
ACP5	12	Spondylometaphyseal dysplasias (SMD)
TRIP11	12	Spondylometaphyseal dysplasias (SMD)
FN1	12	Spondylometaphyseal dysplasias (SMD)
PCYT1A	12	Spondylometaphyseal dysplasias (SMD)
PLCB3	12	Spondylometaphyseal dysplasias (SMD)
HHAT	12	Spondylometaphyseal dysplasias (SMD)
TRAPPC2	13	Spondyloepi(meta)physeal dysplasias (SE(M)D)
EIF2AK3	13	Spondyloepi(meta)physeal dysplasias (SE(M)D)
DYM	13	Spondyloepi(meta)physeal dysplasias (SE(M)D)
RAB33B	13	Spondyloepi(meta)physeal dysplasias (SE(M)D)
BNIP1	13	Spondyloepi(meta)physeal dysplasias (SE(M)D)
MATN3	13	Spondyloepi(meta)physeal dysplasias (SE(M)D)
DDRGK1	13	Spondyloepi(meta)physeal dysplasias (SE(M)D)
AIFM1	13	Spondyloepi(meta)physeal dysplasias (SE(M)D)
RSPRY1	13	Spondyloepi(meta)physeal dysplasias (SE(M)D)
TMEM165	13	Spondyloepi(meta)physeal dysplasias (SE(M)D)
PISD	13	Spondyloepi(meta)physeal dysplasias (SE(M)D)
UFSP2	13	Spondyloepi(meta)physeal dysplasias (SE(M)D)
DDR2	13	Spondyloepi(meta)physeal dysplasias (SE(M)D)
SMARCAL1	13	Spondyloepi(meta)physeal dysplasias (SE(M)D)
EXTL3	13	Spondyloepi(meta)physeal dysplasias (SE(M)D)
PGM3	13	Spondyloepi(meta)physeal dysplasias (SE(M)D)
NANS	13	Spondyloepi(meta)physeal dysplasias (SE(M)D)
RPL13	13	Spondyloepi(meta)physeal dysplasias (SE(M)D)
MBTPS1	13	Spondyloepi(meta)physeal dysplasias (SE(M)D)
NBAS	13	Spondyloepi(meta)physeal dysplasias (SE(M)D)
RINT1	13	Spondyloepi(meta)physeal dysplasias (SE(M)D)
SLC39A13	13	Spondyloepi(meta)physeal dysplasias (SE(M)D)
TONSL	13	Spondyloepi(meta)physeal dysplasias (SE(M)D)
NMNAT1	13	Spondyloepi(meta)physeal dysplasias (SE(M)D)
LTBP3	13	Spondyloepi(meta)physeal dysplasias (SE(M)D)
LONP1	13	Spondyloepi(meta)physeal dysplasias (SE(M)D)
